id,title,description,price_cents,diet_type,sugar,calories,fat,protein,fiber,carbohydrates,sodium,allergen_name
0,شاورما الدجاج,شرائح دجاج مشوية مع الثوم وصلصة الطحينة وخبز بيتا,28000,balanced,4.0,894.0,37.0,63.0,8.0,76.0,690.0,Gluten
1,مسخن,دجاج مع خبز طابون، بصل، وزيت الزيتون,35000,balanced,6.0,1221.0,42.0,84.0,9.0,126.0,1249.0,Gluten
2,حمص بطحينة,حمص مهروس مع طحينة، زيت زيتون، وليمون,12000,vegan,10.0,917.0,61.0,27.0,19.0,70.0,75.0,Sesame
3,مقلوبة الباذنجان,أرز مع باذنجان مقلي ولحم ضأن,42000,balanced,11.0,1194.0,75.0,60.0,11.0,70.0,179.0,Gluten
4,سلطة يونانية,خيار، طماطم، بصل، زيتون، وجبنة فيتا,22000,vegetarian,14.0,654.0,57.0,17.0,4.0,22.0,1496.0,Dairy
5,كباب حلة,لحم ضأن مشوي مع بهارات خاصة,48000,low_carb,0.0,999.0,72.0,67.0,5.0,22.0,214.0,Gluten
6,فاصوليا بيضاء بالزيت والليمون,فاصوليا بيضاء مع زيت زيتون وليمون,15000,vegan,1.0,572.0,31.0,19.0,13.0,57.0,22.0,Eggs
7,مشاوي مشكلة,تشكيلة من اللحوم المشوية مع خضار,55000,balanced,7.0,1061.0,70.0,90.0,4.0,18.0,254.0,Gluten
8,بابا غنوج,باذنجان مشوي مع طحينة وليمون,18000,vegetarian,7.0,510.0,41.0,11.0,10.0,29.0,72.0,Sesame
9,شيش طاووق,قطع دجاج مشوية مع بهارات,32000,balanced,0.0,594.0,27.0,67.0,5.0,22.0,182.0,Gluten
10,سلطة خضار مشوية,خضار مشوية مع زيت زيتون وخل بلسمي,25000,vegetarian,13.0,358.0,30.0,4.0,5.0,20.0,25.0,
11,يخنة عدس,عدس بني مع بصل وجزر,18000,vegan,13.0,555.0,21.0,24.0,26.0,76.0,108.0,
12,سمك مشوي,سمك قاروص مشوي مع زيت وليمون,45000,balanced,0.0,438.0,23.0,51.0,2.0,9.0,252.0,Fish
13,مجبوس دجاج,أرز بالزعفران مع دجاج,38000,balanced,0.0,767.0,27.0,70.0,6.0,59.0,181.0,Gluten
14,سلطة كينوا,كينوا مع خضار وليمون,28000,vegetarian,6.0,366.0,18.0,10.0,6.0,44.0,38.0,
15,لحم بعجين,لحم مفروم مع بصل على عجين,35000,balanced,6.0,1218.0,61.0,68.0,8.0,99.0,984.0,Gluten
16,متبل بندورة,بندورة مشوية مع ثوم وزيت زيتون,15000,vegetarian,7.0,268.0,19.0,7.0,5.0,25.0,49.0,
17,كوسا محشي,كوسا محشية بالأرز واللحم,32000,balanced,5.0,602.0,39.0,32.0,5.0,31.0,105.0,
18,فتة حمص,حمص مع خبز مقلي ولبن,22000,vegetarian,11.0,762.0,23.0,35.0,16.0,107.0,614.0,Gluten
19,شيش برك,عجينة محشية باللحم مع لبن,30000,balanced,5.0,1237.0,61.0,77.0,6.0,94.0,1016.0,Gluten
20,سلطة جرجير,جرجير مع رمان وجبنة,20000,vegetarian,18.0,402.0,27.0,13.0,6.0,31.0,611.0,Dairy
21,دولمة ورق عنب نباتي,أوراق عنب محشية بالأرز والخضار,25000,vegan,7.0,510.0,19.0,10.0,6.0,77.0,43.0,
22,كبة نية,كبة نيئة مع برغل ولحم,40000,balanced,2.0,924.0,60.0,59.0,10.0,39.0,186.0,Gluten
23,شوربة عدس,شوربة عدس بني مع بهارات وزيت زيتون,15000,vegan,4.0,443.0,19.0,22.0,18.0,52.0,32.0,Gluten
24,سلطة تبولة,برغل مع بقدونس ونعناع وطماطم,18000,vegetarian,5.0,449.0,30.0,9.0,11.0,39.0,43.0,Gluten
25,مسقعة الباذنجان,باذنجان مشوي مع طماطم وثوم,22000,vegetarian,10.0,378.0,30.0,5.0,8.0,26.0,14.0,
26,كشري,أرز مع عدس ومكرونة وبصل مقلي,20000,vegan,6.0,540.0,18.0,17.0,13.0,78.0,33.0,Gluten
27,محشي ورق عنب,أوراق عنب محشية بالأرز والخلطة,30000,vegetarian,87.0,1202.0,20.0,30.0,38.0,233.0,112.0,Gluten
28,مكدوس الباذنجان,باذنجان محشي بالفلفل الحار والجوز,25000,vegetarian,40.0,693.0,42.0,21.0,37.0,75.0,24.0,Tree Nuts
29,شوربة خضار,خضار مشكلة مع مرق دجاج,16000,balanced,10.0,259.0,16.0,8.0,9.0,26.0,138.0,Dairy
30,سلطة سيزر,خس مع كروتونات وجبنة بارميزان,24000,low_carb,6.0,293.0,25.0,8.0,1.0,8.0,589.0,Dairy
31,ستيك لحم,ستيك لحم ضأن مشوي مع خضار,55000,low_carb,7.0,1205.0,93.0,77.0,4.0,13.0,288.0,Dairy
32,سلمون مشوي,سلمون مشوي مع صلصة ليمون,48000,balanced,0.0,379.0,20.0,48.0,0.0,1.0,220.0,Fish
33,برجر نباتي,برجر مصنوع من الفاصوليا والخضار,28000,vegetarian,9.0,734.0,17.0,29.0,19.0,118.0,557.0,Gluten
